Musei di competenza di Roma Capitale;;;;;
Anno 2011;;;;;
;;;;;
Denominazione;Tipologia;Indirizzo;Orario;Giorni chiusura;Sito web
Centrale Montemartini;Archeologico;Via Ostiense, 106;"Martedì-domenica 9.00-19.00; 24 e 31 dicembre 9.00-14.00 (la biglietteria chiude mezz'ora prima)";Lunedì, 25 dicembre, 1 gennaio, 1 maggio ;www.centralemontemartini.org
Casino Nobile;Musei di Villa Torlonia;Via Nomentana, 70;"Ore 9.00-19.00 (la biglietteria chiude quarantacinque minuti prima); il 24 e il 31 dicembre ore 9.00-14.00 (la biglietteria chiude quarantacinque minuti prima).";Lunedì, 1 gennaio, 1 maggio e 25 dicembre;www.museivillatorlonia.it
Casino delle Civette ;Musei di Villa Torlonia;Via Nomentana, 70;"Ore 9.00-19.00 (la biglietteria chiude quarantacinque minuti prima); il 24 e il 31 dicembre ore 9.00-14.00 (la biglietteria chiude quarantacinque minuti prima).";Lunedì, 1 gennaio, 1 maggio e 25 dicembre;www.museivillatorlonia.it
Casino dei Principi ;Musei di Villa Torlonia;Via Nomentana, 70;"Ore 9.00-19.00 (la biglietteria chiude quarantacinque minuti prima); il 24 e il 31 dicembre ore 9.00-14.00 (la biglietteria chiude quarantacinque minuti prima).";Lunedì, 1 gennaio, 1 maggio e 25 dicembre;www.museivillatorlonia.it
Galleria Comunale di Arte Moderna e Contemporanea;Comunale - D'Arte Moderna;Via Francesco Crispi, 24;"Dal martedì alla domenica 10.00-18.00; 24 e 31 dicembre 10.00-14.00. L’ingresso è consentito fino a mezz’ora prima dell’orario di chiusura";Lunedì, 1 gennaio, 1 maggio e 25 dicembre;www.galleriaartemodernaroma.it
Antiquarium del Celio;Archeologico;Via del Parco del Celio, 22;Aperto solo su appuntamento;Aperto solo su appuntamento;Nessun sito web
;;;;;
;;; ;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
